job_id,company,title,posted_at,deadline,status,job_category,is_intern,education,career_min_months,career_max_months,certificates,major,foreign_lang_test,foreign_lang_score,computer_skill
19,국립공원공단,[북부지역본부] 2026년 3분기 북부권역 공무직(탐방시설) 직원 추가 채용,2026.07.07,2026.07.21,진행중,기술설비,False,전문학사,12,36,전기기사,전공무관,,,필요
20,주택관리공단(주),체험형 인턴 채용공고(주택관리공단 본사_ 장애인),2026.07.07,2026.07.21,진행중,사무행정,True,학사,0,12,,전공무관,,,무관
21,한전KDN,한전KDN 광주전남본부 배전분야 비정규직 모집공고,2026.07.07,2026.07.22,진행중,공무기능,False,전문학사,12,24,,전공무관,,,무관
22,전쟁기념사업회,전쟁기념사업회 사무총장 채용 공고,2026.07.07,2026.07.21,진행중,사무행정,False,학사,0,0,,전공무관,,,필요
23,KDI국제정책대학원,[KDI국제정책대학원] 2026년 제5차 직원 채용(공무직(미화_ 안내)),2026.07.07,2026.07.22,진행중,공무기능,False,학력무관,0,0,,전공무관,,,무관
24,한국수자원공사,[한국수자원공사] 홍보실 기간제근로자(사무관리_전문사무(콘텐츠관리)) 채용 공고(육아휴직 대체인력),2026.07.07,2026.07.21,진행중,사무행정,False,전문학사,0,0,컴퓨터활용능력 1급,행정학과,,,필요
25,한국수자원공사,[한국수자원공사] 수자원위성연구소 특수직(기술관리_전문기술) 채용 공고,2026.07.07,2026.07.21,진행중,사무행정,False,학력무관,12,36,,전공무관,,,필요
26,산업연구원,2026년 제10차 위촉직원 채용공고,2026.07.07,2026.07.22,진행중,기타,False,학력무관,0,0,,전공무관,,,무관
27,한국한의학연구원,2026년 1차 장애인 인턴행정원 제한경쟁 선발 공고,2026.07.07,2026.07.16,진행중,사무행정,False,학사,12,36,,행정학과,,,무관
28,국립공원공단,[주왕산] 2026년 주왕산 국립공원지킴이 4차 모집 공고,2026.07.07,2026.07.17,진행중,공무기능,False,학력무관,0,0,,전공무관,,,무관
29,서울올림픽기념국민체육진흥공단,2026년 국가대표 현장밀착형 스포츠과학지원사업 3차 분석연구원 채용공고,2026.07.07,2026.07.22,진행중,연구전문,False,석사,36,72,,관련 전공(공고별 상이),TOEIC,600,무관
30,한국수자원공사,[한국수자원공사] 예천수도지사 특수직(수탁운영_지방상수도 고객관리) 채용 공고,2026.07.07,2026.07.21,진행중,사무행정,False,학력무관,0,0,,행정학과,,,필요
31,(재)한국통계진흥원,2026년 제7차 한국통계진흥원 직원 채용 공고,2026.07.07,2026.07.21,진행중,기타,False,학력무관,0,0,,전공무관,,,무관
32,한국수자원공사,[한국수자원공사] 예천수도지사 특수직(수탁운영_지방상수도 시설운영) 채용 공고,2026.07.07,2026.07.21,진행중,기술설비,False,전문학사,12,36,,전공무관,,,무관
33,한국수자원공사,[한국수자원공사] 경북지역협력단 김천2현대화사업팀 특수직(사무관리_건설사업) 채용 공고,2026.07.07,2026.07.21,진행중,사무행정,False,전문학사,0,0,컴퓨터활용능력 2급,전공무관,TOEFL,800,무관
34,한국수자원공사,[한국수자원공사] 경북지역협력단 김천2현대화사업팀 특수직(기술관리_건설사업) 채용 공고,2026.07.07,2026.07.21,진행중,사무행정,False,학사,0,0,,전공무관,TOEIC,650,필요
35,창업진흥원,2026년 제2차 신규직원 채용 공고(공무직),2026.07.06,2026.07.20,진행중,공무기능,False,전문학사,0,0,,전공무관,,,무관
36,창업진흥원,2026년 제2차 신규직원 채용 공고(일반행정),2026.07.06,2026.07.20,진행중,사무행정,False,학사,12,36,전산회계,행정학과,OPIc,750,필요
37,공무원연금공단,자금운용 전문계약직(해외투자팀장) 채용 공고,2026.07.06,2026.07.20,진행중,기타,False,전문학사,0,0,,전공무관,,,무관
38,강원대학교병원,2026-34 의사직 수시 채용 공고,2026.07.06,2026.09.30,진행중,의료보건,False,석사,0,0,약사,전공무관,,,무관
39,한국보훈복지의료공단,[중앙보훈병원] 업무지원직 직원 채용 공고(7월),2026.07.06,2026.07.20,진행중,기타,False,학력무관,36,60,,전공무관,,,무관
40,한국보훈복지의료공단,[중앙보훈병원] 기간제 직원 채용 공고(7월),2026.07.06,2026.07.20,진행중,기타,False,학사,12,36,,전공무관,OPIc,600,무관
41,한국부동산원,한국부동산원 전문계약직 채용 공고,2026.07.06,2026.07.22,진행중,기타,False,학력무관,0,0,,전공무관,,,무관
42,국립공원공단,[다도해서부] 다도해해상국립공원서부사무소 기간제[한시인력(탐방안전)] 직원 채용,2026.07.06,2026.07.10,진행중,기술설비,False,전문학사,12,36,,건축공학과,,,무관
43,국립공원공단,[국립공원연구원] 2026년 국립공원연구원 국립공원지킴이(녹색순찰대) 모집 공고,2026.07.06,2026.07.20,진행중,연구전문,False,박사,0,0,,관련 전공(공고별 상이),OPIc,650,무관
44,충북대학교병원,2026년도 제4차 충북대학교병원 신규직원 블라인드 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,전문학사,12,36,,전공무관,TOEIC,650,무관
45,국방기술진흥연구소,국방기술진흥연구소 2026년 채용형인턴 모집 공고,2026.07.06,2026.07.20,진행중,기타,False,학사,12,36,,전공무관,,,필요
46,강원대학교치과병원,계약직(간호사) 모집 공고,2026.07.06,2026.07.16,진행중,의료보건,False,전문학사,36,60,"약사,임상병리사",전공무관,,,무관
47,강원대학교치과병원,계약직(치과위생사) 모집 공고,2026.07.06,2026.07.16,진행중,의료보건,False,학사,36,60,,전공무관,,,무관
48,근로복지공단,[근로복지공단] 연구직(전임연구원) 채용 공고,2026.07.06,2026.07.20,진행중,연구전문,False,학사,36,72,,관련 전공(공고별 상이),OPIc,750,무관
49,한국보훈복지의료공단,[원주보훈요양원] 2026년 제3차 요양보호직 공개채용 ,2026.07.06,2026.07.21,진행중,의료보건,False,학사,36,60,간호사,간호학과,,,무관
50,한국장애인개발원,[제2026-79호]2026년도 제4차 제주특별자치도장애아동·발달장애인지원센터(장애아동지원팀_ 권익옹호팀) 기간제 계약직 채용 공고,2026.07.06,2026.07.21,진행중,상담복지,False,학사,0,0,사회복지사 1급,아동학과,,,무관
51,학교법인한국폴리텍,한국폴리텍대학 항공캠퍼스 대학운영직(조리원) 3차 공개채용 공고,2026.07.06,2026.07.15,진행중,공무기능,False,고졸,24,48,,전공무관,,,무관
52,한국수자원공사,[한국수자원공사] 금강유역협력단 세종현대화사업팀 특수직(기술관리_건설사업) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,학력무관,12,36,,행정학과,OPIc,600,필요
53,한국수자원공사,[한국수자원공사] 금강유역협력단 옥천현대화사업팀 특수직(기술관리_건설사업) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,학사,12,36,컴퓨터활용능력 2급,전공무관,,,필요
54,한국수자원공사,[한국수자원공사] 금강유역협력단 예산현대화사업팀 특수직(기술관리_건설사업) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,학사,0,0,,전공무관,,,무관
55,한국수자원공사,[한국수자원공사] 금강유역협력단 홍성현대화사업팀 특수직(기술관리_건설사업) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,학사,0,0,전산회계,전공무관,,,필요
56,한국발명진흥회,2026년 한국발명진흥회 정규직(6급 채용형 인턴) 채용,2026.07.06,2026.07.21,진행중,기타,True,학사,0,0,,전공무관,,,무관
57,한국수자원공사,[한국수자원공사] 인재개발원 단기계약근로자(사무관리_사무보조) (장애인 제한),2026.07.06,2026.07.20,진행중,기술설비,False,학사,12,36,토목기사,전공무관,,,무관
58,경북대학교치과병원,제6차 산업혁신기반구축사업 연구원(계약직) 채용,2026.07.06,2026.07.24,진행중,연구전문,False,학사,12,36,,관련 전공(공고별 상이),OPIc,750,무관
59,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(사무관리_서무보조) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,학사,12,36,,전공무관,,,무관
60,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(건설사업_사무관리_동지역 제주시) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,전문학사,12,36,,경영학과,,,필요
61,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(건설사업_기술관리_한한대안) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,전문학사,0,0,컴퓨터활용능력 2급,전공무관,,,무관
62,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(건설사업_기술관리_사라) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,학사,0,0,컴퓨터활용능력 2급,전공무관,,,무관
63,동남권원자력의학원,[직원채용] 별정직 간호직(내과 전담 간호사/휴직대체) 공개 채용,2026.07.06,2026.07.20,진행중,의료보건,False,학사,0,0,방사선사,임상병리학과,,,필요
64,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(건설사업_기술관리_서귀포시 동지역) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,전문학사,0,0,,전공무관,,,무관
65,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(건설사업_기술관리_ 제주시 동지역) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,학사,36,60,,전공무관,,,필요
66,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(건설사업_기술관리_구좌) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,전문학사,36,60,,전공무관,,,필요
67,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(건설사업_기술관리_동홍) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,학사,0,0,전산회계,행정학과,,,무관
68,한국수자원공사,[한국수자원공사] 제주지역협력본부 특수직(건설사업_기술관리_표선) 채용 공고,2026.07.06,2026.07.20,진행중,사무행정,False,전문학사,0,0,,전공무관,TOEFL,700,무관
69,한전KDN,한전KDN(주) 충북사업처 OA설비 유지보수 현장근로자 모집공고,2026.07.06,2026.07.20,진행중,기술설비,False,전문학사,0,0,"산업안전기사,전기기사",전공무관,,,무관
70,한국환경연구원,[한국환경연구원] 임시직(연안해양환경) 채용 공고(0706),2026.07.06,2026.07.21,진행중,연구전문,False,학사,12,36,,전공무관,,,무관
71,국립공원공단,[지리산전남] 여름성수기 기간제(수익시설 1차) 직원 채용 공고,2026.07.06,2026.07.13,진행중,기술설비,False,전문학사,36,60,기계정비산업기사,건축공학과,,,필요
72,국립공원공단,[치악산] 2026년 치악산국립공원 기간제(한시인력-수익시설) 직원 채용,2026.07.06,2026.07.10,진행중,기술설비,False,전문학사,12,36,토목기사,전공무관,,,무관
73,한국장애인고용공단,[한국장애인고용공단 대구지역본부] 대체근로자(체험형 청년인턴) 채용 공고,2026.07.06,2026.07.15,진행중,기타,True,학사,0,0,,전공무관,,,무관
74,한국건강증진개발원,한국건강증진개발원 2026년 제4차 위촉전문원 채용 공고,2026.07.06,2026.07.20,진행중,연구전문,False,석사,36,72,,관련 전공(공고별 상이),,,필요
75,국립공원공단,[덕유산] 덕유산국립공원 여름성수기 한시인력(수익시설) 직원 채용 공고,2026.07.06,2026.07.10,진행중,기술설비,False,전문학사,36,60,토목기사,전기공학과,,,무관
76,한국주택금융공사,2026년도 하반기 체험형 인턴 채용공고,2026.07.06,2026.07.21,진행중,기타,True,학력무관,0,12,,전공무관,,,무관
77,부산대학교병원,권역호흡기전문질환센터 예방의학과 전문의 모집,2026.07.06,2026.07.21,진행중,의료보건,False,석사,0,0,응급구조사,임상병리학과,,,무관
78,국립공원공단,[변산반도]2026년 변산반도국립공원 기간제(탐방안전_한시인력) 직원 채용공고,2026.07.06,2026.07.10,진행중,기술설비,False,고졸,36,60,건축기사,전기공학과,,,필요
79,한국수자원공사,[한국수자원공사] 청송권지사 특수직(수탁운영_하수도시설운영) 채용 공고,2026.07.06,2026.07.20,진행중,기술설비,False,전문학사,12,36,,전공무관,,,무관
80,국립공원공단,[변산반도]2026년 변산반도국립공원 기간제(수익시설_한시인력) 직원 채용공고,2026.07.06,2026.07.10,진행중,기술설비,False,학력무관,0,0,"기계정비산업기사,전기기사",전공무관,,,무관
81,정보통신정책연구원,2026년 계약직연구원 공개채용(방송미디어 국제협력),2026.07.06,2026.07.21,진행중,연구전문,False,박사,36,72,,관련 전공(공고별 상이),TOEFL,700,필요
82,한국환경공단,한국환경공단 광주전남제주환경본부 환경시설관리처 기간제근로자(촉탁직_ 기계직렬) 채용,2026.07.06,2026.07.20,진행중,기술설비,False,학사,0,0,토목기사,전공무관,,,무관
83,국립중앙의료원,계약직 주차(총무팀) 채용 공고,2026.07.03,2026.07.20,진행중,사무행정,False,학사,0,0,,전공무관,,,무관
84,국립중앙의료원,계약직 연구원(책임의료기관지원팀) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,석사,12,36,,관련 전공(공고별 상이),TOEIC Speaking,600,필요
85,국립중앙의료원,계약직 연구원-휴직대체(지역의료교육팀) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,석사,36,72,,관련 전공(공고별 상이),TOEFL,700,필요
86,국립중앙의료원,계약직 연구원(지역의료교육팀) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,학사,36,72,,관련 전공(공고별 상이),,,무관
87,국립중앙의료원,계약직 간호사_사회복지사_임상심리사-휴직대체(중앙난임임산부심리상담센터) 채용 공고,2026.07.03,2026.07.20,진행중,의료보건,False,전문학사,0,0,임상병리사,전공무관,,,무관
88,국립중앙의료원,계약직 전산행정(정보운영팀) 채용 공고,2026.07.03,2026.07.20,진행중,IT전산,False,학사,0,0,SQLD,전공무관,,,필요
89,국립중앙의료원,계약직 연구원(의료임상교육팀) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,학사,36,72,,관련 전공(공고별 상이),,,필요
90,국립중앙의료원,계약직 단시간근로자-간호조무사(소화기내과-내시경실) 채용 공고,2026.07.03,2026.07.20,진행중,의료보건,False,전문학사,0,0,물리치료사,전공무관,,,무관
91,국립중앙의료원,계약직 연구원(소아청소년과) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,석사,0,0,,관련 전공(공고별 상이),,,무관
92,국립중앙의료원,계약직 간호사-휴직대체(보험심사팀) 채용 공고,2026.07.03,2026.07.20,진행중,의료보건,False,전문학사,0,0,임상병리사,간호학과,,,무관
93,국립중앙의료원,계약직 연구원(모자의료지원팀) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,학사,36,72,,관련 전공(공고별 상이),,,무관
94,국립중앙의료원,계약직 연구원-휴직대체(공공의료사업지원팀) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,석사,0,0,,관련 전공(공고별 상이),TOEIC,750,무관
95,국립중앙의료원,계약직 연구원(감염병연구기획팀) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,석사,12,36,,관련 전공(공고별 상이),TOEIC Speaking,600,무관
96,국립중앙의료원,계약직 연구원(감염병사업지원팀) 채용 공고,2026.07.03,2026.07.20,진행중,연구전문,False,석사,12,36,,관련 전공(공고별 상이),,,무관
97,국립중앙의료원,계약직 병동지원(간호부-순환기내과) 채용 공고,2026.07.03,2026.07.20,진행중,의료보건,False,학사,36,60,물리치료사,전공무관,TOEIC Speaking,650,무관
98,국립중앙의료원,연구직 일반연구원(데이터기반정책연구팀) 채용 공고,2026.07.03,2026.07.20,진행중,IT전산,False,전문학사,0,0,,소프트웨어학과,,,필요
99,한국보훈복지의료공단,[대구보훈병원] (긴급) 정규직 업무지원직(급식_ 청소)_ 계약직 보건직(임상병리사)_ 기능직(행정)_ 업무지원직(급식) 채용 공고,2026.07.03,2026.07.13,진행중,의료보건,False,전문학사,0,0,방사선사,임상병리학과,,,무관
100,국립공원공단,[소백산] 소백산사무소 기간제(수익시설) 직원 채용,2026.07.03,2026.07.08,진행중,기술설비,False,학사,12,36,,기계공학과,,,무관
101,한국보훈복지의료공단, [중앙보훈병원] 정형외과 전문의 채용 공고,2026.07.03,2026.07.17,진행중,의료보건,False,학사,0,0,요양보호사,전공무관,,,무관
102,한국보훈복지의료공단,[중앙보훈병원] 이비인후과 전문의 채용 공고,2026.07.03,2026.07.17,진행중,의료보건,False,학사,0,0,물리치료사,간호학과,,,무관
103,한국보훈복지의료공단,[중앙보훈병원] 내과 전문의(응급의료센터) 채용 공고,2026.07.03,2026.07.17,진행중,의료보건,False,학사,12,36,요양보호사,전공무관,,,무관
104,(재)우체국물류지원단,우체국물류지원단 경인지사 고양덕양우체국 기간제(소포직) 채용 공고,2026.07.03,2026.07.09,진행중,기타,False,학사,12,36,,전공무관,,,필요
105,대한적십자사,대전세종충남혈액원 비정규직 육아휴직 대체 임상병리사 채용 공고,2026.07.03,2026.07.19,진행중,의료보건,False,학사,0,0,"임상병리사,물리치료사",물리치료학과,,,무관
106,한국보훈복지의료공단,[광주보훈병원] 정규직-무기계약직 업무지원직(고객지원_ 시설지원_ 급식) 직원 채용 공고,2026.07.03,2026.07.13,진행중,기술설비,False,전문학사,0,0,토목기사,전공무관,,,무관
107,경북대학교병원,2026년 6월 제3차 임시직원 모집 공고(시설기술(설비)_ 별정(약물분석연구원)_ 행정_ 간호),2026.07.03,2026.07.08,진행중,의료보건,False,학사,12,36,약사,물리치료학과,,,무관
108,한국법무보호복지공단,2026년 한국법무보호복지공단 경남서부지소 심리상담직(육아휴직대체직) 경력경쟁채용시험 공고,2026.07.03,2026.07.24,진행중,상담복지,False,전문학사,36,60,장애인재활상담사,전공무관,,,무관
109,한국보훈복지의료공단,[광주보훈병원] 계약직 약무직(약사) - 휴직대체 직원 채용 공고,2026.07.03,2026.07.13,진행중,의료보건,False,전문학사,0,0,요양보호사,간호학과,,,무관
110,국립공원공단,[내장산백암] 내장산국립공원백암사무소 기간제(수익시설) 채용 공고,2026.07.03,2026.07.17,진행중,기술설비,False,전문학사,0,0,전기기사,전기공학과,,,필요
111,한국장애인개발원,[제2026-77호] 2026년 제5차 경상북도장애아동·발달장애인지원센터 (장애아동지원팀) 기간제 계약직 채용 공고,2026.07.03,2026.07.20,진행중,상담복지,False,학사,0,0,,심리학과,,,무관
112,한전KDN,한전KDN(주) 부산본부 26년 AMI 통신망 보강공사 작업원 모집공고,2026.07.03,2026.07.18,진행중,공무기능,False,학력무관,0,0,운전면허 1종,전공무관,,,무관
113,국립공원공단,[내장산백암] 내장산국립공원백암사무소 기간제(환경관리_한시인력) 채용 공고,2026.07.03,2026.07.08,진행중,기술설비,False,학사,0,0,,건축공학과,,,무관
114,국토교통과학기술진흥원,2026년 제2차 인재채용[NCS기반 능력중심 블라인드 채용] 공고,2026.07.03,2026.07.20,진행중,기타,False,학력무관,12,36,,전공무관,,,무관
115,한국수자원공사,[한국수자원공사] 설계처 단기계약근로자(기술관리_전문기술) 채용 공고(육아휴직 대체인력),2026.07.03,2026.07.17,진행중,기술설비,False,고졸,12,36,산업안전기사,건축공학과,,,무관
116,대한법률구조공단,대한법률구조공단 소속 변호사 라급(직무급 연봉제) 신규 채용 공고,2026.07.03,2026.07.21,진행중,기타,False,학력무관,0,0,,전공무관,,,무관
117,한전KDN,한전KDN(주) 용인지사 일용근로자 모집공고,2026.07.03,2026.07.17,진행중,기타,False,학력무관,0,0,,전공무관,,,무관
118,주택관리공단(주),채용형 인턴 채용공고(주택관리공단 대전충남지사),2026.07.03,2026.07.10,진행중,사무행정,True,학사,0,0,,전공무관,,,무관
119,주택관리공단(주),체험형 인턴 채용공고(주택관리공단 강원지사),2026.07.03,2026.07.10,진행중,사무행정,True,학사,0,0,,전공무관,,,무관
120,주택관리공단(주),채용형 인턴 채용공고(주택관리공단 경기북부지사),2026.07.03,2026.07.10,진행중,사무행정,True,학력무관,0,0,,전공무관,,,무관
121,주택관리공단(주),채용형 인턴 채용공고(주택관리공단 경기북부지사),2026.07.03,2026.07.10,진행중,사무행정,True,전문학사,0,0,,전공무관,,,무관
122,학교법인한국폴리텍,한국폴리텍대학 익산캠퍼스 청년인턴(일반) 채용 공고,2026.07.03,2026.07.14,진행중,기타,True,고졸,0,12,,전공무관,,,무관
123,한국보훈복지의료공단,[김해보훈요양원] 2026년 5차 정규직 요양보호직 채용공고,2026.07.03,2026.07.20,진행중,의료보건,False,학사,12,36,요양보호사,전공무관,,,무관
124,국립중앙의료원,업무지원직 청소(시설팀) 채용 공고,2026.07.03,2026.07.20,진행중,기술설비,False,전문학사,0,0,"토목기사,기계정비산업기사",전공무관,,,필요
125,한국수목원정원관리원,국립세종수목원 2026년 제3차 기간제근로자 채용 공고,2026.07.03,2026.07.18,진행중,기타,False,전문학사,0,0,,전공무관,,,필요
126,한국여성과학기술인육성재단,2026년 제3차 행정직 채용 공고,2026.07.03,2026.07.19,진행중,사무행정,False,학사,12,36,,경영학과,,,필요
127,(주)한국가스기술공사,서울지사 기간제 계약직(육아휴직 대체인력) 채용 공고,2026.07.03,2026.07.17,진행중,기타,False,전문학사,0,0,,전공무관,,,무관
128,근로복지공단,[안산지사] 기간제(사무원) 채용 공고,2026.07.03,2026.07.10,진행중,사무행정,False,학사,0,0,,전공무관,,,필요
129,근로복지공단,[서울서부지사] 기간제(근로자정보조사원) 채용 공고,2026.07.03,2026.07.14,진행중,기타,False,고졸,0,0,,전공무관,,,무관
130,한국인터넷진흥원,2026년 한국인터넷진흥원 기간제 근로자 3차 채용 공고(전문연구직_ 연구지원직),2026.07.03,2026.07.20,진행중,연구전문,False,학사,36,72,,관련 전공(공고별 상이),,,필요
131,국립중앙의료원,무기계약직 간호조무사(간호부) 채용 공고,2026.07.03,2026.07.20,진행중,의료보건,False,학사,0,0,물리치료사,약학과,TOEFL,700,필요
132,국립중앙의료원,계약직 단시간근로자-장애인(진단검사의학과)채용 공고,2026.07.03,2026.07.20,진행중,기타,False,학사,12,36,,전공무관,,,무관
133,충북대학교병원,2026년 2차 충북대학교병원 장애인 근로자(기간제근무자) 모집 공고,2026.07.03,2026.07.17,진행중,기타,False,전문학사,36,60,,전공무관,,,무관
134,국립중앙의료원,무기계약직 행정(약물안전센터) 채용 공고,2026.07.03,2026.07.20,진행중,기술설비,False,전문학사,36,60,건축기사,전공무관,,,무관
135,충북대학교병원,2026년 7월 충북대학교병원 기간제근무자 모집 공고,2026.07.03,2026.07.17,진행중,기타,False,학사,12,36,,전공무관,,,무관
136,한국보훈복지의료공단,[부산보훈병원] 계약직(업무지원직-약무보조) 긴급채용공고,2026.07.03,2026.07.13,진행중,의료보건,False,전문학사,0,0,간호사,전공무관,,,무관
137,국립중앙의료원,간호직 6급 간호사(간호부-외상중환자실) 채용 공고,2026.07.03,2026.07.20,진행중,의료보건,False,전문학사,12,36,,보건행정학과,,,무관
138,한국중부발전(주),2026년도 제2차 4직급 신입직원 채용공고,2026.07.03,2026.07.22,진행중,기타,False,학력무관,36,60,,전공무관,,,무관
139,한국공예디자인문화진흥원,한국공예디자인문화진흥원 직원(정규직_ 계약직-제한경쟁) 채용공고(2026-004),2026.07.02,2026.07.23,진행중,기타,False,전문학사,0,0,,전공무관,,,무관
140,한국장애인고용공단,[한국장애인고용공단 경남서부지사] 기간제 근로자 채용 공고,2026.07.02,2026.07.09,진행중,기타,False,학력무관,36,60,,전공무관,,,무관
141,국립공원공단,[오대산] 2026년 기간제(국립공원지킴이(녹색순찰대) 직원 채용(4차),2026.07.02,2026.07.16,진행중,공무기능,False,전문학사,24,48,,전공무관,,,무관
142,한국장애인고용공단,[한국장애인고용공단 경남동부지사] 기간제 근로자 채용 공고,2026.07.02,2026.07.09,진행중,기타,False,학력무관,12,36,,전공무관,,,무관
143,한국장애인고용공단,[한국장애인고용공단 울산지사] 기간제 근로자 채용 공고,2026.07.02,2026.07.09,진행중,기타,False,전문학사,12,36,,전공무관,,,무관
144,한국장애인고용공단,[한국장애인고용공단 부산지역본부] 기간제 근로자 채용 공고,2026.07.02,2026.07.09,진행중,기타,False,학력무관,0,0,,전공무관,OPIc,800,무관
145,전남대학교병원,2026년 7월 전남대학교병원 직원(대체근로자) 공개채용 공고,2026.07.02,2026.07.09,진행중,기타,False,학력무관,36,60,,전공무관,,,무관
146,대한적십자사,서울적십자병원 계약직 기능직(장애인제한경쟁) 신규채용 공고,2026.07.02,2026.07.18,진행중,공무기능,False,학력무관,0,0,,전공무관,,,무관
147,대한적십자사,서울적십자병원 정규직 간호조무사 신규채용 공고,2026.07.02,2026.07.18,진행중,의료보건,False,전문학사,36,60,요양보호사,전공무관,,,무관
