revision_id,page_id,definition,why_required,depth_criteria,prerequisites,common_misconceptions,interview_verification,learning_sequence,produced_by_run_id
wr_demo_ai_engineer_model-training_1,wp_demo_ai_engineer_model-training,데이터를 받아 모델을 학습하고 결과를 지표로 비교해 다음 실험을 정하는 능력.,최근 공고 전량이 Python 구현력을 요구하고 다수가 프레임워크와 데이터 전처리를 자격요건에 둡니다. 이 역량이 없으면 다른 준비가 평가에 닿지 않습니다.,"{""foundation"": ""예제를 따라 학습을 한 번 돌려 본다"", ""application"": ""직접 만든 데이터로 학습하고 지표를 뽑는다"", ""tradeoff"": ""학습이 안 되는 원인을 찾아 구조와 손실을 고친다""}","[""Python 기본 문법과 배열 연산"", ""학습·검증 분리의 의미""]","[""점수가 오르면 좋아진 것이라는 생각"", ""데이터는 주어지는 것이라는 생각""]","[""그 지표를 왜 골랐나"", ""학습이 안 될 때 무엇부터 보나""]","[""데이터 수집·정제"", ""학습 루프 구현"", ""평가 지표 설계"", ""원인 분석과 수정""]",run_demo_ai_engineer_knowledge
wr_demo_ai_engineer_serving-ops_1,wp_demo_ai_engineer_serving-ops,학습한 모델을 호출 가능한 형태로 배포하고 지연·비용·품질을 관찰하는 능력.,"직무 외 요구 가운데 서빙·인프라가 가장 자주 나타나고, 일부 기업군은 자격요건에 둡니다.","{""foundation"": ""모델을 함수로 감싸 호출해 본다"", ""application"": ""API 로 배포하고 요청당 지연을 잰다"", ""tradeoff"": ""품질 저하를 감지하고 재학습·재배포 주기를 설계한다""}","[""HTTP 요청과 응답의 기본"", ""컨테이너로 실행하는 법""]","[""배포는 인프라 팀의 일이라는 생각"", ""정확도가 높으면 서비스가 된다는 생각""]","[""요청 하나에 얼마나 걸리나"", ""모델이 틀리기 시작하면 어떻게 아나""]","[""엔드포인트 만들기"", ""지연·자원 측정"", ""모니터링 지표 정의"", ""재학습 주기 설계""]",run_demo_ai_engineer_knowledge
wr_demo_ai_engineer_llm-application_1,wp_demo_ai_engineer_llm-application,검색 증강과 프롬프트 설계로 언어 모델을 제품 기능에 연결하는 능력.,"LLM 응용 요구가 1년 사이 우대에서 자격요건으로 올라오는 흐름이 뚜렷하고, 스타트업 기업군은 이미 필수로 둡니다.","{""foundation"": ""API 를 호출해 기능 하나를 만든다"", ""application"": ""문서를 색인하고 검색 결과로 답을 만든다"", ""tradeoff"": ""검색 단계와 프롬프트를 나눠 품질 저하의 원인을 가른다""}","[""임베딩과 유사도의 의미"", ""문서 분할과 색인의 기본""]","[""모델을 바꾸면 품질이 오른다는 생각"", ""프롬프트만 고치면 된다는 생각""]","[""엉뚱한 문서를 가져올 때 무엇부터 보나"", ""문맥 길이를 넘으면 어떻게 하나""]","[""API 호출 기능"", ""문서 색인"", ""검색 품질 실험"", ""평가와 비용 측정""]",run_demo_ai_engineer_knowledge
wr_demo_data_engineer_data-modeling_1,wp_demo_data_engineer_data-modeling,요구를 분석 가능한 테이블로 옮기고 집계 비용을 설명하는 능력.,SQL 요구가 최근 공고 전량에 있고 웨어하우스 모델링이 1년 새 50%에서 80%로 늘었습니다. 분석용 테이블을 설계하지 못하면 적재는 해도 쓰이지 않습니다.,"{""foundation"": ""조인과 집계를 규칙대로 쓸 수 있다"", ""application"": ""팩트와 디멘전을 나눠 마트를 설계하고 집계 쿼리를 붙인다"", ""tradeoff"": ""조회 패턴과 저장 비용을 놓고 비정규화 범위를 근거와 함께 고른다""}","[""관계형 모델과 키의 의미"", ""실행 계획을 읽는 기본""]","[""테이블을 많이 나누면 항상 좋다는 오해. 조회 패턴이 기준이다"", ""인덱스를 걸면 무조건 빨라진다는 오해. 적재 비용이 함께 늘어난다""]","[""이 테이블을 왜 그렇게 나눴나요?"", ""컬럼을 하나 더 넣지 않은 이유는 무엇인가요?"", ""조회 패턴이 바뀌면 설계를 어떻게 바꾸겠어요?""]","[""공개 데이터로 원천 테이블 적재"", ""팩트·디멘전 분리와 마트 설계"", ""집계 쿼리의 실행 계획 읽기와 개선""]",run_demo_data_engineer_knowledge
wr_demo_data_engineer_pipeline-engineering_1,wp_demo_data_engineer_pipeline-engineering,분산 배치를 짜고 DAG 로 묶어 실패까지 다루는 능력.,분산 배치와 오케스트레이션이 각각 등장 80%이고 두 항목 모두 우대에서 자격요건으로 올라온 이동 항목입니다. 매일 도는 것을 지키는 능력이 이 직무의 중심입니다.,"{""foundation"": ""배치를 한 번 실행해 결과를 남긴다"", ""application"": ""의존을 DAG 로 묶어 스케줄로 돌리고 실패를 재처리한다"", ""tradeoff"": ""파티션과 셔플을 조정해 처리 시간과 자원을 함께 다룬다""}","[""파이썬으로 데이터 처리 코드 작성"", ""분산 처리의 파티션 개념""]","[""한 번 성공하면 끝이라는 오해. 배치는 멈추는 것이 전제다"", ""다시 돌리면 알아서 맞는다는 오해. 멱등하지 않으면 값이 두 번 더해진다""]","[""배치가 새벽에 실패하면 무엇부터 보나요?"", ""어디까지 처리됐는지 어떻게 확인하나요?"", ""셔플이 왜 비싼가요?""]","[""단일 배치 스크립트 작성"", ""DAG 로 의존 묶고 스케줄 실행"", ""실패 재현과 재처리 절차 정리""]",run_demo_data_engineer_knowledge
wr_demo_data_engineer_stream-processing_1,wp_demo_data_engineer_stream-processing,이벤트 스트림을 받아 순서와 중복을 다루며 적재하는 능력.,스트리밍 수집은 등장 60%에 필수율 0%로 우대의 자리를 지킵니다. 필수 항목을 채운 다음의 선택지이지만 물으면 반드시 깊이를 확인합니다.,"{""foundation"": ""토픽·파티션·컨슈머 그룹의 구조를 설명한다"", ""application"": ""스트림을 받아 적재하고 지연을 측정한다"", ""tradeoff"": ""중복과 순서를 다루는 방식을 요구에 맞춰 고른다""}","[""배치와 스트림의 차이 이해"", ""메시지 브로커의 기본 구조""]","[""실시간이면 항상 좋다는 오해. 운영 비용과 복잡도가 함께 오른다"", ""메시지가 한 번만 온다는 오해. 중복은 기본 전제다""]","[""중복 메시지가 오면 어떻게 처리했나요?"", ""순서가 어긋나면 무엇이 문제가 되나요?"", ""배치 대신 스트림을 고른 이유는 무엇인가요?""]","[""브로커 구조와 토픽 개념 정리"", ""간단한 수집 파이프라인 구현"", ""중복·순서 처리와 지연 측정""]",run_demo_data_engineer_knowledge
wr_demo_fullstack_feature-delivery_1,wp_demo_fullstack_feature-delivery,화면·서버·데이터를 하나의 기능으로 잇고 동작하는 상태로 만드는 능력.,"최근 1년 풀스택 공고에서 기능 하나를 화면부터 서버까지 완성하기 은 React 화면 구현, Node.js·TypeScript 서버 구현 요구로 나타납니다.","{""foundation"": ""따라 해 본 수준"", ""application"": ""내 프로젝트에 적용해 설명 가능"", ""tradeoff"": ""선택지를 비교해 이유를 대는 수준""}","[""React 화면 구현"", ""Node.js·TypeScript 서버 구현""]","[""도구 이름을 아는 것과 계약을 정하는 것은 다르다"", ""동작하는 화면이 곧 완성된 기능은 아니다""]","[""왜 그 방식을 골랐는지 묻는다"", ""실패했을 때 어떻게 되는지 묻는다""]","[""기본 문법·개념"", ""작은 기능에 적용"", ""선택 이유 설명""]",run_demo_fullstack_knowledge
wr_demo_fullstack_contract-design_1,wp_demo_fullstack_contract-design,요청·응답 형태와 저장 구조를 정하고 양쪽이 어긋나지 않게 유지하는 능력.,"최근 1년 풀스택 공고에서 화면과 서버 사이 데이터 계약 설계하기 은 REST API 설계·연동, 관계형 데이터베이스 모델링 요구로 나타납니다.","{""foundation"": ""따라 해 본 수준"", ""application"": ""내 프로젝트에 적용해 설명 가능"", ""tradeoff"": ""선택지를 비교해 이유를 대는 수준""}","[""REST API 설계·연동"", ""관계형 데이터베이스 모델링""]","[""도구 이름을 아는 것과 계약을 정하는 것은 다르다"", ""동작하는 화면이 곧 완성된 기능은 아니다""]","[""왜 그 방식을 골랐는지 묻는다"", ""실패했을 때 어떻게 되는지 묻는다""]","[""기본 문법·개념"", ""작은 기능에 적용"", ""선택 이유 설명""]",run_demo_fullstack_knowledge
wr_demo_fullstack_ship-operate_1,wp_demo_fullstack_ship-operate,직접 배포하고 로그·지표로 동작을 확인해 문제를 되돌리는 능력.,최근 1년 풀스택 공고에서 배포하고 운영 상태를 확인하기 은 클라우드 배포·운영 요구로 나타납니다.,"{""foundation"": ""따라 해 본 수준"", ""application"": ""내 프로젝트에 적용해 설명 가능"", ""tradeoff"": ""선택지를 비교해 이유를 대는 수준""}","[""클라우드 배포·운영""]","[""도구 이름을 아는 것과 계약을 정하는 것은 다르다"", ""동작하는 화면이 곧 완성된 기능은 아니다""]","[""왜 그 방식을 골랐는지 묻는다"", ""실패했을 때 어떻게 되는지 묻는다""]","[""기본 문법·개념"", ""작은 기능에 적용"", ""선택 이유 설명""]",run_demo_fullstack_knowledge
wr_demo_devops_container-orchestration_1,wp_demo_devops_container-orchestration,컨테이너 워크로드를 클러스터에 올리고 트래픽 경로까지 책임지는 능력.,최근 공고 전량이 클러스터 운영을 요구하고 다수가 자격요건에 둡니다. 이 역량이 없으면 다른 준비가 평가에 닿지 않습니다.,"{""foundation"": ""매니페스트를 써서 서비스를 올릴 수 있다"", ""application"": ""장애 시 이벤트와 로그로 원인을 좁힌다"", ""tradeoff"": ""확장과 종료 처리를 근거와 함께 설계한다""}","[""컨테이너 이미지 빌드와 실행"", ""요청이 서비스까지 오는 네트워크 경로""]","[""올라가면 운영이 된다는 생각"", ""리소스 한계를 넉넉히 주면 안전하다는 생각""]","[""파드가 계속 재시작하면 무엇부터 보나"", ""노드를 빼면 트래픽은 어떻게 되나""]","[""이미지 빌드"", ""매니페스트 배포"", ""장애 재현"", ""확장·종료 설계""]",run_demo_devops_knowledge
wr_demo_devops_delivery-automation_1,wp_demo_devops_delivery-automation,빌드부터 배포까지를 코드로 선언하고 반복 가능하게 만드는 능력.,파이프라인 요구가 전 기업군 공통이고 인프라 코드화 요구가 1년 새 뚜렷하게 늘었습니다.,"{""foundation"": ""빌드와 배포를 한 번의 실행으로 잇는다"", ""application"": ""환경을 코드로 선언해 반복 가능하게 만든다"", ""tradeoff"": ""무중단 전략과 롤백 판정 기준을 고른다""}","[""버전 관리와 브랜치 전략"", ""선언형 구성의 개념""]","[""한 번 돌면 자동화가 끝났다는 생각"", ""콘솔 수정은 나중에 코드로 옮기면 된다는 생각""]","[""같은 코드를 두 번 돌리면 어떻게 되나"", ""되돌릴 판단은 무엇으로 하나""]","[""워크플로 구성"", ""인프라 코드화"", ""재생성 검증"", ""배포 전략""]",run_demo_devops_knowledge
wr_demo_devops_reliability-operations_1,wp_demo_devops_reliability-operations,지표로 상태를 읽고 장애를 탐지·복구해 재발을 막는 능력.,관측 요구가 우대에서 자격요건으로 이동 중이고 여러 기업군이 알림 설계와 온콜을 함께 묻습니다.,"{""foundation"": ""지표와 로그를 모아 볼 수 있게 만든다"", ""application"": ""알림 임계값을 정하고 장애를 재현해 본다"", ""tradeoff"": ""SLO와 에러 버짓으로 릴리스 속도를 조율한다""}","[""클러스터 기본 운영"", ""시계열 지표의 개념""]","[""로그를 남기면 관측이 된다는 생각"", ""알림은 많을수록 안전하다는 생각""]","[""알림을 하나만 남긴다면 무엇인가"", ""재발을 막기 위해 무엇을 남겼나""]","[""지표 수집"", ""대시보드"", ""알림 설계"", ""회고와 재발 방지""]",run_demo_devops_knowledge
wr_demo_mobile_app-build_1,wp_demo_mobile_app-build,한 플랫폼에서 화면·입력·네비게이션을 갖춘 앱을 스스로 완성하는 능력.,최근 공고 전량이 한 플랫폼의 앱 구현을 자격요건에 둡니다. 이 역량이 없으면 다른 준비가 평가에 닿지 않습니다.,"{""foundation"": ""예제를 따라 화면 하나를 만든다"", ""application"": ""화면 여러 개가 이어지는 앱을 직접 설계해 완성한다"", ""tradeoff"": ""여러 기종과 OS 버전에서 같은 동작을 보장한다""}","[""언어 기본 문법"", ""화면 생명주기의 의미""]","[""예제를 돌린 것을 만들어 봤다고 말하는 것"", ""화면이 보이면 완성이라는 생각""]","[""화면이 다시 그려지는 조건은 무엇인가"", ""기종마다 다르게 보이면 무엇부터 보나""]","[""화면 구성"", ""네비게이션"", ""입력과 검증"", ""기기 대응""]",run_demo_mobile_knowledge
wr_demo_mobile_app-structure_1,wp_demo_mobile_app-structure,화면과 로직을 분리하고 서버 연동의 성공·실패 흐름을 설계하는 능력.,"구조 요구가 우대에서 자격요건으로 올라오는 흐름이 뚜렷하고, 서버 연동은 전 기업군 공통입니다.","{""foundation"": ""화면 코드와 데이터 호출을 파일로 나눈다"", ""application"": ""상태를 한 곳에서 관리하고 로딩·실패를 화면에 표현한다"", ""tradeoff"": ""재시도와 중복 요청까지 설계해 데이터가 어긋나지 않게 만든다""}","[""비동기 호출의 기본"", ""JSON 응답 다루기""]","[""패턴 이름을 아는 것이 구조라는 생각"", ""성공 응답만 다루면 된다는 생각""]","[""같은 데이터를 두 화면이 쓰면 어떻게 하나"", ""요청이 두 번 나가면 어떻게 되나""]","[""계층 분리"", ""상태 관리"", ""실패 처리"", ""재시도 정책""]",run_demo_mobile_knowledge
wr_demo_mobile_release-ops_1,wp_demo_mobile_release-ops,앱을 스토어에 올리고 버전·호환·이슈를 관리하는 능력.,"직무 외 요구 가운데 배포·릴리스가 가장 자주 나타나고, 일부 기업군은 자격요건에 둡니다.","{""foundation"": ""빌드해 설치 파일을 만든다"", ""application"": ""스토어에 올리고 버전과 릴리스 노트를 관리한다"", ""tradeoff"": ""단계 배포와 하위 호환을 관리해 기존 사용자를 깨지 않는다""}","[""서명과 빌드 설정의 기본"", ""버전 표기 규칙""]","[""배포는 회사가 알아서 해준다는 생각"", ""올리면 끝이라는 생각""]","[""심사에서 반려되면 무엇부터 보나"", ""옛 버전 사용자는 어떻게 되나""]","[""빌드와 서명"", ""스토어 등록"", ""버전 관리"", ""단계 배포와 롤백""]",run_demo_mobile_knowledge
wr_demo_security_vuln-diagnosis_1,wp_demo_security_vuln-diagnosis,점검 절차에 따라 취약점을 확인하고 위험도와 조치 방안을 보고서로 전달하는 능력.,최근 공고 전량이 취약점 점검을 요구하고 다수가 자격요건에 둡니다. 이 역량이 없으면 다른 준비가 평가에 닿지 않습니다.,"{""foundation"": ""점검 항목의 의미를 안다"", ""application"": ""절차에 따라 점검하고 결과를 보고서로 남긴다"", ""tradeoff"": ""위험도와 조치 비용을 견줘 우선순위를 정한다""}","[""웹 요청과 응답의 흐름 이해"", ""취약점의 원인을 코드로 설명하기""]","[""도구가 찾아주면 진단이 끝났다는 생각"", ""전부 고쳐야 한다는 생각""]","[""무엇을 먼저 고쳐야 하나"", ""고치지 않기로 한 항목은 어떻게 설명했나""]","[""실습 환경 구성"", ""항목별 점검"", ""원인 정리"", ""보고서 작성""]",run_demo_security_knowledge
wr_demo_security_incident-response_1,wp_demo_security_incident-response,보안 로그에서 이상 징후를 찾아내고 정해진 절차에 따라 대응하고 기록하는 능력.,"보안관제와 네트워크 요구가 전 기업군에 반복되며, 탐지 이후의 절차를 묻는 문장이 늘고 있습니다.","{""foundation"": ""로그에서 이상 징후를 찾아낸다"", ""application"": ""정해진 절차에 따라 대응하고 기록한다"", ""tradeoff"": ""탐지 범위와 오탐 비용을 견줘 정책을 고른다""}","[""네트워크 기본 동작"", ""운영체제 로그가 남는 자리""]","[""경보가 많을수록 안전하다는 생각"", ""차단하면 대응이 끝났다는 생각""]","[""정상 기준선은 어떻게 정했나"", ""오탐을 줄이려면 무엇을 바꾸겠나""]","[""로그 수집"", ""기준선 정의"", ""탐지 규칙 초안"", ""대응 절차 정리""]",run_demo_security_knowledge
wr_demo_security_compliance-design_1,wp_demo_security_compliance-design,개인정보 보호 법령과 관리체계 요구사항을 업무 절차로 옮기고 준수 여부를 점검하는 능력.,"개인정보 보호 법령과 관리체계 요구가 기업군과 무관하게 반복되며, 금융·SI 에서는 자격요건으로 올라옵니다.","{""foundation"": ""법령이 요구하는 항목을 안다"", ""application"": ""요구사항을 업무 절차와 점검표로 옮긴다"", ""tradeoff"": ""규제 준수 비용과 서비스 편의를 견줘 절차를 고른다""}","[""개인정보 처리 흐름 파악"", ""문서로 남기는 습관""]","[""조문을 외우면 된다는 생각"", ""규제는 법무 부서의 일이라는 생각""]","[""이 항목의 증적은 무엇인가"", ""절차를 어떻게 검증했나""]","[""처리 흐름도"", ""항목 정리"", ""점검표 작성"", ""증적 확인""]",run_demo_security_knowledge
wr_demo_game_client_gameplay-impl_1,wp_demo_game_client_gameplay-impl,선택한 엔진의 구조 위에서 조작·전투·UI 를 완성하고 플레이 가능한 빌드로 내보내는 능력.,최근 공고 전량이 엔진으로 완성한 결과물을 전제로 합니다. 이 역량이 없으면 다른 준비가 평가에 닿지 않습니다.,"{""foundation"": ""엔진의 기본 컴포넌트로 화면과 입력을 붙인다"", ""application"": ""조작 루프와 UI 를 갖춘 빌드를 완성한다"", ""tradeoff"": ""구조를 나누는 기준을 근거와 함께 고른다""}","[""언어 문법과 객체 구조 이해"", ""엔진 에디터의 기본 조작""]","[""튜토리얼을 따라 한 것을 완성으로 두는 생각"", ""블루프린트만으로 C++ 요구를 충족한다는 생각""]","[""한 프레임 안에서 무엇이 먼저 도나"", ""이 기능을 왜 이 구조로 나눴나""]","[""조작 루프 구현"", ""UI 와 상태 저장"", ""빌드 산출"", ""구조 정리""]",run_demo_game_client_knowledge
wr_demo_game_client_runtime-perf_1,wp_demo_game_client_runtime-perf,목표 단말의 프레임 예산을 정하고 계측과 개선으로 그 예산을 지키는 능력.,"프레임 예산과 렌더링 비용이 모든 기업군 공고에 등장하며, 목표 수치가 문장에 박힌 공고도 있습니다.","{""foundation"": ""프로파일러로 프레임 그래프를 읽는다"", ""application"": ""병목을 찾아 드로우콜이나 셰이더 비용을 줄인다"", ""tradeoff"": ""품질과 성능 사이에서 무엇을 포기할지 고른다""}","[""렌더링 파이프라인의 단계 이해"", ""측정 도구 사용""]","[""옵션을 낮추면 최적화라는 생각"", ""평균 프레임만 보는 습관""]","[""CPU 와 GPU 중 어느 쪽이 병목이었나"", ""무엇을 포기했나""]","[""계측"", ""병목 특정"", ""개선"", ""전후 비교""]",run_demo_game_client_knowledge
wr_demo_game_client_multiplay-sync_1,wp_demo_game_client_multiplay-sync,서버 상태와 화면의 차이를 보간·예측·보정으로 메우고 그 선택을 설명하는 능력.,실시간 대전과 스트리밍처럼 동기화가 제품의 본체인 기업군에서 자격요건으로 올라옵니다.,"{""foundation"": ""서버 상태를 화면에 반영한다"", ""application"": ""보간으로 끊김을 없애고 지연을 확인한다"", ""tradeoff"": ""예측과 보정 가운데 무엇을 속일지 고른다""}","[""좌표와 시간 보간의 수학"", ""통신 지연의 개념""]","[""패킷을 자주 보내면 부드러워진다는 생각"", ""예측이 항상 정답이라는 생각""]","[""예측이 틀리면 어떻게 되돌리나"", ""지연이 커지면 무엇을 포기하나""]","[""상태 반영"", ""보간 적용"", ""지연 주입 실험"", ""예측·보정 선택""]",run_demo_game_client_knowledge
