profile_id,capability_id,taxonomy_version_id,scope_level,scope_id,entry_segment,period_id,depth_distribution,expected_depth,sample_size,evidence_support,confidence,analysis_version
cdp_demo_backend_data-modeling_si_enterprise_entry_junior,cap_backend_data-modeling,tx_demo_backend,cluster,si_enterprise,entry_junior,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_game_all,cap_backend_data-modeling,tx_demo_backend,cluster,game,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_overall_all,cap_backend_transaction-consistency,tx_demo_backend,overall,backend,all,y2026,"{""foundation"": 1, ""application"": 12, ""tradeoff"": 5}",application,18,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 18}",0.85000,an_demo_backend
cdp_demo_backend_transaction-consistency_overall_entry_junior,cap_backend_transaction-consistency,tx_demo_backend,overall,backend,entry_junior,y2026,"{""foundation"": 1, ""application"": 6, ""tradeoff"": 3}",application,10,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 10}",0.85000,an_demo_backend
cdp_demo_backend_transaction-consistency_bigtech_platform_all,cap_backend_transaction-consistency,tx_demo_backend,cluster,bigtech_platform,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_bigtech_platform_entry_junior,cap_backend_transaction-consistency,tx_demo_backend,cluster,bigtech_platform,entry_junior,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_startup_all,cap_backend_transaction-consistency,tx_demo_backend,cluster,startup,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_startup_entry_junior,cap_backend_transaction-consistency,tx_demo_backend,cluster,startup,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 0}",application,1,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 1}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_b2b_saas_all,cap_backend_transaction-consistency,tx_demo_backend,cluster,b2b_saas,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_b2b_saas_entry_junior,cap_backend_transaction-consistency,tx_demo_backend,cluster,b2b_saas,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 1}",tradeoff,2,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_fintech_finance_all,cap_backend_transaction-consistency,tx_demo_backend,cluster,fintech_finance,all,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 2}",tradeoff,3,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_fintech_finance_entry_junior,cap_backend_transaction-consistency,tx_demo_backend,cluster,fintech_finance,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 2}",tradeoff,3,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_si_enterprise_all,cap_backend_transaction-consistency,tx_demo_backend,cluster,si_enterprise,all,y2026,"{""foundation"": 1, ""application"": 2, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_si_enterprise_entry_junior,cap_backend_transaction-consistency,tx_demo_backend,cluster,si_enterprise,entry_junior,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_transaction-consistency_game_all,cap_backend_transaction-consistency,tx_demo_backend,cluster,game,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_transaction-integrity"", ""dim_backend_rdb-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_performance-scaling_overall_all,cap_backend_performance-scaling,tx_demo_backend,overall,backend,all,y2026,"{""foundation"": 1, ""application"": 3, ""tradeoff"": 6}",tradeoff,18,"{""dimensions"": [""dim_backend_caching-performance"", ""dim_backend_message-queue""], ""matched_postings"": 10}",0.85000,an_demo_backend
cdp_demo_backend_performance-scaling_overall_entry_junior,cap_backend_performance-scaling,tx_demo_backend,overall,backend,entry_junior,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 2}",tradeoff,10,"{""dimensions"": [""dim_backend_caching-performance"", ""dim_backend_message-queue""], ""matched_postings"": 4}",0.85000,an_demo_backend
cdp_demo_backend_performance-scaling_bigtech_platform_all,cap_backend_performance-scaling,tx_demo_backend,cluster,bigtech_platform,all,y2026,"{""foundation"": 0, ""application"": 0, ""tradeoff"": 3}",tradeoff,3,"{""dimensions"": [""dim_backend_caching-performance"", ""dim_backend_message-queue""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_performance-scaling_bigtech_platform_entry_junior,cap_backend_performance-scaling,tx_demo_backend,cluster,bigtech_platform,entry_junior,y2026,"{""foundation"": 0, ""application"": 0, ""tradeoff"": 2}",tradeoff,2,"{""dimensions"": [""dim_backend_caching-performance"", ""dim_backend_message-queue""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_performance-scaling_startup_all,cap_backend_performance-scaling,tx_demo_backend,cluster,startup,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_caching-performance"", ""dim_backend_message-queue""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_performance-scaling_fintech_finance_all,cap_backend_performance-scaling,tx_demo_backend,cluster,fintech_finance,all,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_caching-performance"", ""dim_backend_message-queue""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_performance-scaling_fintech_finance_entry_junior,cap_backend_performance-scaling,tx_demo_backend,cluster,fintech_finance,entry_junior,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_caching-performance"", ""dim_backend_message-queue""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_performance-scaling_game_all,cap_backend_performance-scaling,tx_demo_backend,cluster,game,all,y2026,"{""foundation"": 0, ""application"": 0, ""tradeoff"": 3}",tradeoff,3,"{""dimensions"": [""dim_backend_caching-performance"", ""dim_backend_message-queue""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_operability_overall_all,cap_backend_operability,tx_demo_backend,overall,backend,all,y2026,"{""foundation"": 2, ""application"": 13, ""tradeoff"": 3}",application,18,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 18}",0.85000,an_demo_backend
cdp_demo_backend_operability_overall_entry_junior,cap_backend_operability,tx_demo_backend,overall,backend,entry_junior,y2026,"{""foundation"": 2, ""application"": 7, ""tradeoff"": 1}",application,10,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 10}",0.85000,an_demo_backend
cdp_demo_backend_operability_bigtech_platform_all,cap_backend_operability,tx_demo_backend,cluster,bigtech_platform,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_operability_bigtech_platform_entry_junior,cap_backend_operability,tx_demo_backend,cluster,bigtech_platform,entry_junior,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_operability_startup_all,cap_backend_operability,tx_demo_backend,cluster,startup,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_operability_startup_entry_junior,cap_backend_operability,tx_demo_backend,cluster,startup,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 0}",application,1,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 1}",0.70000,an_demo_backend
cdp_demo_backend_operability_b2b_saas_all,cap_backend_operability,tx_demo_backend,cluster,b2b_saas,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_operability_b2b_saas_entry_junior,cap_backend_operability,tx_demo_backend,cluster,b2b_saas,entry_junior,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_operability_fintech_finance_all,cap_backend_operability,tx_demo_backend,cluster,fintech_finance,all,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 1}",tradeoff,3,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_operability_fintech_finance_entry_junior,cap_backend_operability,tx_demo_backend,cluster,fintech_finance,entry_junior,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 1}",tradeoff,3,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_operability_si_enterprise_all,cap_backend_operability,tx_demo_backend,cluster,si_enterprise,all,y2026,"{""foundation"": 1, ""application"": 2, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_operability_si_enterprise_entry_junior,cap_backend_operability,tx_demo_backend,cluster,si_enterprise,entry_junior,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_operability_game_all,cap_backend_operability,tx_demo_backend,cluster,game,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_container-deploy"", ""dim_backend_cloud-infra"", ""dim_backend_cicd-automation"", ""dim_backend_monitoring-incident""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_overall_all,cap_backend_collaboration-quality,tx_demo_backend,overall,backend,all,y2026,"{""foundation"": 1, ""application"": 17, ""tradeoff"": 0}",application,18,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 18}",0.85000,an_demo_backend
cdp_demo_backend_collaboration-quality_overall_entry_junior,cap_backend_collaboration-quality,tx_demo_backend,overall,backend,entry_junior,y2026,"{""foundation"": 1, ""application"": 9, ""tradeoff"": 0}",application,10,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 10}",0.85000,an_demo_backend
cdp_demo_backend_collaboration-quality_bigtech_platform_all,cap_backend_collaboration-quality,tx_demo_backend,cluster,bigtech_platform,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_bigtech_platform_entry_junior,cap_backend_collaboration-quality,tx_demo_backend,cluster,bigtech_platform,entry_junior,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_startup_all,cap_backend_collaboration-quality,tx_demo_backend,cluster,startup,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_startup_entry_junior,cap_backend_collaboration-quality,tx_demo_backend,cluster,startup,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 0}",application,1,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 1}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_b2b_saas_all,cap_backend_collaboration-quality,tx_demo_backend,cluster,b2b_saas,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_b2b_saas_entry_junior,cap_backend_collaboration-quality,tx_demo_backend,cluster,b2b_saas,entry_junior,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_fintech_finance_all,cap_backend_collaboration-quality,tx_demo_backend,cluster,fintech_finance,all,y2026,"{""foundation"": 1, ""application"": 2, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_fintech_finance_entry_junior,cap_backend_collaboration-quality,tx_demo_backend,cluster,fintech_finance,entry_junior,y2026,"{""foundation"": 1, ""application"": 2, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_si_enterprise_all,cap_backend_collaboration-quality,tx_demo_backend,cluster,si_enterprise,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_si_enterprise_entry_junior,cap_backend_collaboration-quality,tx_demo_backend,cluster,si_enterprise,entry_junior,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_collaboration-quality_game_all,cap_backend_collaboration-quality,tx_demo_backend,cluster,game,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_test-automation"", ""dim_backend_code-review-collab"", ""dim_backend_tech-documentation""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_frontend_ui-implementation_overall_all,cap_frontend_ui-implementation,tx_demo_frontend,overall,frontend,all,y2026,"{""foundation"": 0, ""application"": 16, ""tradeoff"": 2}",application,18,"{""dimensions"": [""dim_frontend_react-component"", ""dim_frontend_css-architecture""], ""matched_postings"": 18}",0.85000,an_demo_frontend
cdp_demo_frontend_ui-implementation_overall_entry_junior,cap_frontend_ui-implementation,tx_demo_frontend,overall,frontend,entry_junior,y2026,"{""foundation"": 0, ""application"": 10, ""tradeoff"": 0}",application,10,"{""dimensions"": [""dim_frontend_react-component"", ""dim_frontend_css-architecture""], ""matched_postings"": 10}",0.85000,an_demo_frontend
cdp_demo_frontend_ui-implementation_bigtech_platform_all,cap_frontend_ui-implementation,tx_demo_frontend,cluster,bigtech_platform,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_frontend_react-component"", ""dim_frontend_css-architecture""], ""matched_postings"": 3}",0.70000,an_demo_frontend
cdp_demo_frontend_ui-implementation_bigtech_platform_entry_junior,cap_frontend_ui-implementation,tx_demo_frontend,cluster,bigtech_platform,entry_junior,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_frontend_react-component"", ""dim_frontend_css-architecture""], ""matched_postings"": 3}",0.70000,an_demo_frontend
