result_id,analysis_version,target_type,target_id,check_name,autonomy_level,verdict,severity,reason_code,repair_action,judge_model,detail
vr_demo_fullstack_07,an_demo_fullstack,analysis_version,an_demo_fullstack,check_7_counterevidence,A1,skip,info,NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행 대상이 아니다""}"
vr_demo_devops_01,an_demo_devops,analysis_version,an_demo_devops,schema_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_devops_02,an_demo_devops,analysis_version,an_demo_devops,source_policy_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_devops_03,an_demo_devops,analysis_version,an_demo_devops,citation_span_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_devops_04,an_demo_devops,analysis_version,an_demo_devops,numerical_consistency,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_devops_05,an_demo_devops,analysis_version,an_demo_devops,claim_evidence_entailment,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 적용 대상이 아니다"", ""targets"": 27}"
vr_demo_devops_06,an_demo_devops,analysis_version,an_demo_devops,cross_model_sample_audit,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 적용 대상이 아니다"", ""targets"": 27}"
vr_demo_devops_07,an_demo_devops,analysis_version,an_demo_devops,contradiction_detector,A0,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 적용 대상이 아니다"", ""targets"": 27}"
vr_demo_mobile_01,an_demo_mobile,analysis_version,an_demo_mobile,schema_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_mobile_02,an_demo_mobile,analysis_version,an_demo_mobile,source_policy_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_mobile_03,an_demo_mobile,analysis_version,an_demo_mobile,citation_span_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_mobile_04,an_demo_mobile,analysis_version,an_demo_mobile,numerical_consistency,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_mobile_05,an_demo_mobile,analysis_version,an_demo_mobile,claim_evidence_entailment,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_mobile_06,an_demo_mobile,analysis_version,an_demo_mobile,cross_model_sample_audit,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_mobile_07,an_demo_mobile,analysis_version,an_demo_mobile,contradiction_detector,A0,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_security_01,an_demo_security,analysis_version,an_demo_security,schema_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_security_02,an_demo_security,analysis_version,an_demo_security,source_policy_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_security_03,an_demo_security,analysis_version,an_demo_security,citation_span_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_security_04,an_demo_security,analysis_version,an_demo_security,numerical_consistency,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_security_05,an_demo_security,analysis_version,an_demo_security,claim_evidence_entailment,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_security_06,an_demo_security,analysis_version,an_demo_security,cross_model_sample_audit,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_security_07,an_demo_security,analysis_version,an_demo_security,contradiction_detector,A0,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_game_client_01,an_demo_game_client,analysis_version,an_demo_game_client,schema_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_game_client_02,an_demo_game_client,analysis_version,an_demo_game_client,source_policy_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_game_client_03,an_demo_game_client,analysis_version,an_demo_game_client,citation_span_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_game_client_04,an_demo_game_client,analysis_version,an_demo_game_client,numerical_consistency,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_game_client_05,an_demo_game_client,analysis_version,an_demo_game_client,claim_evidence_entailment,A1,skip,info,not_applicable,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_game_client_06,an_demo_game_client,analysis_version,an_demo_game_client,cross_model_sample_audit,A1,skip,info,not_applicable,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_game_client_07,an_demo_game_client,analysis_version,an_demo_game_client,contradiction_detector,A0,skip,info,not_applicable,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
