dimension_version_id,dimension_id,taxonomy_version_id,internal_canonical_label,display_label,definition,lifecycle_status,standard_mapping_status,standard_id,mapping_confidence,mapping_evidence,review_status,role_boundary_eligible
dv_backend_service-domain-modeling,dim_backend_service-domain-modeling,tx_demo_backend,service_domain_modeling,서비스 도메인 모델링,제품의 비즈니스 규칙을 모델과 경계로 옮기는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_code-review-collab,dim_backend_code-review-collab,tx_demo_backend,code_review_collab,코드리뷰·협업 커뮤니케이션,코드리뷰와 유관 부서 협의로 변경을 합의하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_tech-documentation,dim_backend_tech-documentation,tx_demo_backend,tech_documentation,기술 문서화,API 명세와 설계 산출물을 문서로 남기는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_frontend_react-component,dim_frontend_react-component,tx_demo_frontend,react_component,React 컴포넌트 개발,컴포넌트 단위로 화면을 나누고 상태와 이벤트를 다루는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_frontend_typescript-typing,dim_frontend_typescript-typing,tx_demo_frontend,typescript_typing,TypeScript 타입 설계,타입으로 데이터 모양과 규칙을 표현해 오류를 컴파일 시점에 잡는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_frontend_state-management,dim_frontend_state-management,tx_demo_frontend,state_management,상태 관리 설계,화면 사이의 상태와 서버 데이터 흐름을 일관된 규칙으로 다루는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_frontend_css-architecture,dim_frontend_css-architecture,tx_demo_frontend,css_architecture,CSS 설계·디자인 시스템,스타일을 재사용 가능한 구조로 나누고 디자인 토큰과 공통 컴포넌트로 묶는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_frontend_web-performance,dim_frontend_web-performance,tx_demo_frontend,web_performance,웹 성능 최적화,렌더링 비용과 로딩 지표를 측정해 사용자 체감 속도를 줄이는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_frontend_web-accessibility,dim_frontend_web-accessibility,tx_demo_frontend,web_accessibility,웹 접근성·웹표준,시맨틱 마크업과 키보드·보조기기 사용을 고려해 화면을 만드는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_frontend_frontend-testing,dim_frontend_frontend-testing,tx_demo_frontend,frontend_testing,프론트엔드 테스트,컴포넌트와 사용자 흐름을 자동 테스트로 검증해 회귀를 막는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_frontend_bundling-build,dim_frontend_bundling-build,tx_demo_frontend,bundling_build,번들링·빌드 도구,번들러와 빌드 파이프라인을 구성해 산출물 크기와 빌드 시간을 다루는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_ai_engineer_python,dim_ai_engineer_python,tx_demo_ai_engineer,python,Python 구현력,데이터 처리와 학습·추론 코드를 Python으로 직접 작성하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_ai_engineer_dl-framework,dim_ai_engineer_dl-framework,tx_demo_ai_engineer,dl_framework,딥러닝 프레임워크,PyTorch·TensorFlow로 모델을 정의하고 학습·평가 루프를 다루는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_ai_engineer_llm-app,dim_ai_engineer_llm-app,tx_demo_ai_engineer,llm_app,LLM 응용·RAG,상용·오픈 언어 모델을 프롬프트와 검색 증강으로 제품 기능에 붙이는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_ai_engineer_data-prep,dim_ai_engineer_data-prep,tx_demo_ai_engineer,data_prep,데이터 전처리·품질 관리,학습과 평가에 쓸 데이터를 수집·정제·가공하고 품질을 관리하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_ai_engineer_model-serving,dim_ai_engineer_model-serving,tx_demo_ai_engineer,model_serving,모델 서빙·배포,학습한 모델을 추론 서버와 API로 배포하고 지연·비용을 관리하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_data_engineer_sql-analytics,dim_data_engineer_sql-analytics,tx_demo_data_engineer,sql_analytics,SQL 집계·쿼리 최적화,대용량 테이블을 집계하고 실행 계획을 읽어 쿼리 비용을 다루는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_data_engineer_spark-batch,dim_data_engineer_spark-batch,tx_demo_data_engineer,spark_batch,분산 배치 처리,Spark 계열 분산 엔진으로 대량 데이터를 배치로 처리하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_data_engineer_workflow-orchestration,dim_data_engineer_workflow-orchestration,tx_demo_data_engineer,workflow_orchestration,워크플로 오케스트레이션,DAG로 배치 의존을 정의하고 스케줄과 재처리를 운영하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_data_engineer_data-warehouse,dim_data_engineer_data-warehouse,tx_demo_data_engineer,data_warehouse,데이터 웨어하우스 모델링,분석용 테이블과 데이터 마트를 설계하고 적재하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_data_engineer_streaming-ingest,dim_data_engineer_streaming-ingest,tx_demo_data_engineer,streaming_ingest,스트리밍 수집·처리,메시지 브로커와 스트림 처리로 실시간 데이터를 수집하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_fullstack_node-typescript,dim_fullstack_node-typescript,tx_demo_fullstack,server_runtime_node_typescript,Node.js·TypeScript 서버 구현,Node.js 런타임과 TypeScript로 서버 로직을 작성하고 타입으로 계약을 지키는 능력.,active,unmapped,\N,\N,"{""note"": ""생성 데이터라 표준 매핑을 붙이지 않는다""}",approved,false
dv_fullstack_react-ui,dim_fullstack_react-ui,tx_demo_fullstack,client_ui_react,React 화면 구현,React로 화면을 구성하고 상태와 데이터 흐름을 다루는 능력.,active,unmapped,\N,\N,"{""note"": ""생성 데이터라 표준 매핑을 붙이지 않는다""}",approved,false
dv_fullstack_rest-api,dim_fullstack_rest-api,tx_demo_fullstack,api_contract_rest,REST API 설계·연동,자원과 응답 형태를 정하고 화면과 서버가 같은 계약을 쓰도록 만드는 능력.,active,unmapped,\N,\N,"{""note"": ""생성 데이터라 표준 매핑을 붙이지 않는다""}",approved,false
dv_fullstack_rdb-modeling,dim_fullstack_rdb-modeling,tx_demo_fullstack,data_store_rdb,관계형 데이터베이스 모델링,테이블과 관계를 설계하고 쿼리·인덱스를 다루는 능력.,active,unmapped,\N,\N,"{""note"": ""생성 데이터라 표준 매핑을 붙이지 않는다""}",approved,true
dv_fullstack_cloud-deploy,dim_fullstack_cloud-deploy,tx_demo_fullstack,delivery_cloud_deploy,클라우드 배포·운영,컨테이너와 파이프라인으로 배포하고 배포 뒤의 상태를 확인하는 능력.,active,unmapped,\N,\N,"{""note"": ""생성 데이터라 표준 매핑을 붙이지 않는다""}",approved,true
dv_devops_kubernetes,dim_devops_kubernetes,tx_demo_devops,kubernetes,Kubernetes 클러스터 운영,컨테이너 워크로드를 Kubernetes로 배포하고 클러스터를 운영하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_devops_iac-terraform,dim_devops_iac-terraform,tx_demo_devops,iac_terraform,인프라 코드화(IaC·Terraform),클라우드 자원을 선언형 코드로 정의하고 변경을 이력으로 관리하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_devops_cicd-pipeline,dim_devops_cicd-pipeline,tx_demo_devops,cicd_pipeline,CI/CD 파이프라인,빌드·검증·배포를 자동화하는 파이프라인을 만들고 개선하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_devops_observability,dim_devops_observability,tx_demo_devops,observability,관측성·모니터링,지표·로그·추적을 모아 상태를 읽고 장애를 탐지·대응하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_devops_cloud-network,dim_devops_cloud-network,tx_demo_devops,cloud_network,클라우드 네트워크,VPC·서브넷·로드밸런서·DNS 등 클라우드 네트워크 구성을 설계·운영하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_mobile_kotlin-android,dim_mobile_kotlin-android,tx_demo_mobile,kotlin_android,Kotlin·안드로이드,Kotlin으로 안드로이드 앱의 화면과 동작을 구현하는 요구. Jetpack과 Compose를 포함한다.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_mobile_swift-ios,dim_mobile_swift-ios,tx_demo_mobile,swift_ios,Swift·iOS,Swift로 iOS 앱의 화면과 동작을 구현하는 요구. UIKit과 SwiftUI를 포함한다.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_mobile_app-architecture,dim_mobile_app-architecture,tx_demo_mobile,app_architecture,앱 아키텍처·상태 관리,화면과 로직을 분리하고 화면 상태를 예측 가능하게 다루는 요구. MVVM 과 모듈화를 포함한다.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_mobile_network-api,dim_mobile_network-api,tx_demo_mobile,network_api,네트워크·API 연동,서버 API를 호출하고 비동기 흐름과 실패 응답을 다루는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_mobile_store-release,dim_mobile_store-release,tx_demo_mobile,store_release,스토어 배포·릴리스 운영,앱을 스토어에 올리고 심사·버전·단계 배포를 관리하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_security_web-vuln-assessment,dim_security_web-vuln-assessment,tx_demo_security,web_vuln_assessment,웹 취약점 진단,웹 애플리케이션을 점검 절차에 따라 확인하고 위험도와 조치 방안을 정리해 전달하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_security_soc-siem,dim_security_soc-siem,tx_demo_security,soc_siem,보안관제·SIEM,보안 로그를 모아 이상 징후를 탐지하고 탐지 정책과 사고 대응 절차를 운영하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_security_network-security,dim_security_network-security,tx_demo_security,network_security,네트워크 보안,"네트워크·서버 보안 설정과 보안 장비 운영, 트래픽 흐름 확인을 다루는 요구.",active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_security_privacy-compliance,dim_security_privacy-compliance,tx_demo_security,privacy_compliance,개인정보·컴플라이언스,개인정보 보호 법령과 정보보호 관리체계 요구사항을 업무 절차로 옮기고 준수 여부를 점검하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_security_secure-coding,dim_security_secure-coding,tx_demo_security,secure_coding,시큐어 코딩,안전한 코드 작성 원칙을 이해하고 코드 검토와 개발 가이드에 반영하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_game_client_unity-csharp,dim_game_client_unity-csharp,tx_demo_game_client,unity_csharp,Unity·C# 클라이언트 구현,Unity 엔진과 C# 로 게임 화면·입력·인게임 로직을 구현하고 빌드까지 만드는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_game_client_unreal-cpp,dim_game_client_unreal-cpp,tx_demo_game_client,unreal_cpp,Unreal·C++ 클라이언트 구현,언리얼 엔진의 액터·컴포넌트 구조 위에서 C++ 로 게임플레이 기능을 구현하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_game_client_graphics-opt,dim_game_client_graphics-opt,tx_demo_game_client,graphics_opt,그래픽스·렌더링 최적화,드로우콜·배칭·셰이더 비용을 계측해 목표 프레임 예산 안으로 렌더링 부하를 낮추는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_game_client_game-math,dim_game_client_game-math,tx_demo_game_client,game_math,게임 수학·물리,벡터·행렬·쿼터니언과 충돌·보간 등 게임 안의 움직임을 다루는 수학적 기초 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_game_client_net-sync,dim_game_client_net-sync,tx_demo_game_client,net_sync,클라이언트 네트워크 동기화,서버 상태를 화면에 맞추는 보간·예측·보정과 지연 보상의 이해 요구. 서버 경계에 걸린다.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
