alias_id,dimension_id,taxonomy_version_id,alias_text,alias_source
alias_backend_tech-documentation_1,dim_backend_tech-documentation,tx_demo_backend,기술 문서,manual
alias_backend_tech-documentation_2,dim_backend_tech-documentation,tx_demo_backend,API 문서,discovered
alias_backend_tech-documentation_3,dim_backend_tech-documentation,tx_demo_backend,문서화,discovered
alias_frontend_react-component_1,dim_frontend_react-component,tx_demo_frontend,React,manual
alias_frontend_react-component_2,dim_frontend_react-component,tx_demo_frontend,리액트,discovered
alias_frontend_react-component_3,dim_frontend_react-component,tx_demo_frontend,컴포넌트 개발,discovered
alias_frontend_typescript-typing_1,dim_frontend_typescript-typing,tx_demo_frontend,TypeScript,manual
alias_frontend_typescript-typing_2,dim_frontend_typescript-typing,tx_demo_frontend,타입스크립트,discovered
alias_frontend_typescript-typing_3,dim_frontend_typescript-typing,tx_demo_frontend,정적 타입,discovered
alias_frontend_state-management_1,dim_frontend_state-management,tx_demo_frontend,상태 관리,manual
alias_frontend_state-management_2,dim_frontend_state-management,tx_demo_frontend,Redux,discovered
alias_frontend_state-management_3,dim_frontend_state-management,tx_demo_frontend,React Query,discovered
alias_frontend_css-architecture_1,dim_frontend_css-architecture,tx_demo_frontend,CSS 설계,manual
alias_frontend_css-architecture_2,dim_frontend_css-architecture,tx_demo_frontend,디자인 시스템,discovered
alias_frontend_css-architecture_3,dim_frontend_css-architecture,tx_demo_frontend,styled-components,discovered
alias_frontend_web-performance_1,dim_frontend_web-performance,tx_demo_frontend,웹 성능,manual
alias_frontend_web-performance_2,dim_frontend_web-performance,tx_demo_frontend,Core Web Vitals,discovered
alias_frontend_web-performance_3,dim_frontend_web-performance,tx_demo_frontend,렌더링 최적화,discovered
alias_frontend_web-accessibility_1,dim_frontend_web-accessibility,tx_demo_frontend,웹 접근성,manual
alias_frontend_web-accessibility_2,dim_frontend_web-accessibility,tx_demo_frontend,WCAG,discovered
alias_frontend_web-accessibility_3,dim_frontend_web-accessibility,tx_demo_frontend,시맨틱 마크업,discovered
alias_frontend_frontend-testing_1,dim_frontend_frontend-testing,tx_demo_frontend,프론트엔드 테스트,manual
alias_frontend_frontend-testing_2,dim_frontend_frontend-testing,tx_demo_frontend,Testing Library,discovered
alias_frontend_frontend-testing_3,dim_frontend_frontend-testing,tx_demo_frontend,E2E 테스트,discovered
alias_frontend_bundling-build_1,dim_frontend_bundling-build,tx_demo_frontend,번들링,manual
alias_frontend_bundling-build_2,dim_frontend_bundling-build,tx_demo_frontend,Webpack,discovered
alias_frontend_bundling-build_3,dim_frontend_bundling-build,tx_demo_frontend,Vite,discovered
alias_ai_engineer_python_1,dim_ai_engineer_python,tx_demo_ai_engineer,Python,manual
alias_ai_engineer_python_2,dim_ai_engineer_python,tx_demo_ai_engineer,파이썬,discovered
alias_ai_engineer_python_3,dim_ai_engineer_python,tx_demo_ai_engineer,Python 3,discovered
alias_ai_engineer_dl-framework_1,dim_ai_engineer_dl-framework,tx_demo_ai_engineer,PyTorch,manual
alias_ai_engineer_dl-framework_2,dim_ai_engineer_dl-framework,tx_demo_ai_engineer,파이토치,discovered
alias_ai_engineer_dl-framework_3,dim_ai_engineer_dl-framework,tx_demo_ai_engineer,TensorFlow,discovered
alias_ai_engineer_dl-framework_4,dim_ai_engineer_dl-framework,tx_demo_ai_engineer,딥러닝 프레임워크,discovered
alias_ai_engineer_llm-app_1,dim_ai_engineer_llm-app,tx_demo_ai_engineer,LLM,manual
alias_ai_engineer_llm-app_2,dim_ai_engineer_llm-app,tx_demo_ai_engineer,RAG,discovered
alias_ai_engineer_llm-app_3,dim_ai_engineer_llm-app,tx_demo_ai_engineer,프롬프트 설계,discovered
alias_ai_engineer_llm-app_4,dim_ai_engineer_llm-app,tx_demo_ai_engineer,파인튜닝,discovered
alias_ai_engineer_data-prep_1,dim_ai_engineer_data-prep,tx_demo_ai_engineer,데이터 전처리,manual
alias_ai_engineer_data-prep_2,dim_ai_engineer_data-prep,tx_demo_ai_engineer,데이터 파이프라인,discovered
alias_ai_engineer_data-prep_3,dim_ai_engineer_data-prep,tx_demo_ai_engineer,라벨링,discovered
alias_ai_engineer_data-prep_4,dim_ai_engineer_data-prep,tx_demo_ai_engineer,피처 엔지니어링,discovered
alias_ai_engineer_model-serving_1,dim_ai_engineer_model-serving,tx_demo_ai_engineer,모델 서빙,manual
alias_ai_engineer_model-serving_2,dim_ai_engineer_model-serving,tx_demo_ai_engineer,추론 서버,discovered
alias_ai_engineer_model-serving_3,dim_ai_engineer_model-serving,tx_demo_ai_engineer,TorchServe,discovered
alias_ai_engineer_model-serving_4,dim_ai_engineer_model-serving,tx_demo_ai_engineer,Triton,discovered
alias_data_engineer_sql-analytics_1,dim_data_engineer_sql-analytics,tx_demo_data_engineer,SQL,manual
alias_data_engineer_sql-analytics_2,dim_data_engineer_sql-analytics,tx_demo_data_engineer,쿼리 튜닝,discovered
alias_data_engineer_sql-analytics_3,dim_data_engineer_sql-analytics,tx_demo_data_engineer,실행 계획,discovered
alias_data_engineer_sql-analytics_4,dim_data_engineer_sql-analytics,tx_demo_data_engineer,윈도우 함수,discovered
alias_data_engineer_spark-batch_1,dim_data_engineer_spark-batch,tx_demo_data_engineer,Spark,manual
alias_data_engineer_spark-batch_2,dim_data_engineer_spark-batch,tx_demo_data_engineer,PySpark,discovered
alias_data_engineer_spark-batch_3,dim_data_engineer_spark-batch,tx_demo_data_engineer,분산 처리,discovered
alias_data_engineer_spark-batch_4,dim_data_engineer_spark-batch,tx_demo_data_engineer,배치 처리,discovered
alias_data_engineer_workflow-orchestration_1,dim_data_engineer_workflow-orchestration,tx_demo_data_engineer,Airflow,manual
alias_data_engineer_workflow-orchestration_2,dim_data_engineer_workflow-orchestration,tx_demo_data_engineer,DAG,discovered
alias_data_engineer_workflow-orchestration_3,dim_data_engineer_workflow-orchestration,tx_demo_data_engineer,스케줄러,discovered
alias_data_engineer_workflow-orchestration_4,dim_data_engineer_workflow-orchestration,tx_demo_data_engineer,워크플로,discovered
alias_data_engineer_data-warehouse_1,dim_data_engineer_data-warehouse,tx_demo_data_engineer,데이터 웨어하우스,manual
alias_data_engineer_data-warehouse_2,dim_data_engineer_data-warehouse,tx_demo_data_engineer,BigQuery,discovered
alias_data_engineer_data-warehouse_3,dim_data_engineer_data-warehouse,tx_demo_data_engineer,데이터 마트,discovered
alias_data_engineer_data-warehouse_4,dim_data_engineer_data-warehouse,tx_demo_data_engineer,스타 스키마,discovered
alias_data_engineer_streaming-ingest_1,dim_data_engineer_streaming-ingest,tx_demo_data_engineer,Kafka,manual
alias_data_engineer_streaming-ingest_2,dim_data_engineer_streaming-ingest,tx_demo_data_engineer,CDC,discovered
alias_data_engineer_streaming-ingest_3,dim_data_engineer_streaming-ingest,tx_demo_data_engineer,실시간 수집,discovered
alias_data_engineer_streaming-ingest_4,dim_data_engineer_streaming-ingest,tx_demo_data_engineer,Flink,discovered
alias_fullstack_node-typescript_1,dim_fullstack_node-typescript,tx_demo_fullstack,Node.js,manual
alias_fullstack_node-typescript_2,dim_fullstack_node-typescript,tx_demo_fullstack,TypeScript,manual
alias_fullstack_node-typescript_3,dim_fullstack_node-typescript,tx_demo_fullstack,NestJS,manual
alias_fullstack_node-typescript_4,dim_fullstack_node-typescript,tx_demo_fullstack,Express,manual
alias_fullstack_react-ui_1,dim_fullstack_react-ui,tx_demo_fullstack,React,manual
alias_fullstack_react-ui_2,dim_fullstack_react-ui,tx_demo_fullstack,Next.js,manual
alias_fullstack_react-ui_3,dim_fullstack_react-ui,tx_demo_fullstack,프론트엔드 화면,manual
alias_fullstack_react-ui_4,dim_fullstack_react-ui,tx_demo_fullstack,컴포넌트,manual
alias_fullstack_rest-api_1,dim_fullstack_rest-api,tx_demo_fullstack,REST API,manual
alias_fullstack_rest-api_2,dim_fullstack_rest-api,tx_demo_fullstack,API 설계,manual
alias_fullstack_rest-api_3,dim_fullstack_rest-api,tx_demo_fullstack,OpenAPI,manual
alias_fullstack_rest-api_4,dim_fullstack_rest-api,tx_demo_fullstack,엔드포인트,manual
alias_fullstack_rdb-modeling_1,dim_fullstack_rdb-modeling,tx_demo_fullstack,PostgreSQL,manual
alias_fullstack_rdb-modeling_2,dim_fullstack_rdb-modeling,tx_demo_fullstack,MySQL,manual
alias_fullstack_rdb-modeling_3,dim_fullstack_rdb-modeling,tx_demo_fullstack,RDB,manual
alias_fullstack_rdb-modeling_4,dim_fullstack_rdb-modeling,tx_demo_fullstack,ORM,manual
alias_fullstack_cloud-deploy_1,dim_fullstack_cloud-deploy,tx_demo_fullstack,AWS,manual
alias_fullstack_cloud-deploy_2,dim_fullstack_cloud-deploy,tx_demo_fullstack,Docker,manual
alias_fullstack_cloud-deploy_3,dim_fullstack_cloud-deploy,tx_demo_fullstack,CI/CD,manual
alias_fullstack_cloud-deploy_4,dim_fullstack_cloud-deploy,tx_demo_fullstack,배포 파이프라인,manual
alias_devops_kubernetes_1,dim_devops_kubernetes,tx_demo_devops,Kubernetes,manual
alias_devops_kubernetes_2,dim_devops_kubernetes,tx_demo_devops,쿠버네티스,discovered
alias_devops_kubernetes_3,dim_devops_kubernetes,tx_demo_devops,K8s,discovered
alias_devops_kubernetes_4,dim_devops_kubernetes,tx_demo_devops,컨테이너 오케스트레이션,discovered
alias_devops_iac-terraform_1,dim_devops_iac-terraform,tx_demo_devops,Terraform,manual
alias_devops_iac-terraform_2,dim_devops_iac-terraform,tx_demo_devops,IaC,discovered
alias_devops_iac-terraform_3,dim_devops_iac-terraform,tx_demo_devops,인프라 코드화,discovered
alias_devops_iac-terraform_4,dim_devops_iac-terraform,tx_demo_devops,Ansible,discovered
alias_devops_cicd-pipeline_1,dim_devops_cicd-pipeline,tx_demo_devops,CI/CD,manual
alias_devops_cicd-pipeline_2,dim_devops_cicd-pipeline,tx_demo_devops,배포 자동화,discovered
alias_devops_cicd-pipeline_3,dim_devops_cicd-pipeline,tx_demo_devops,GitHub Actions,discovered
alias_devops_cicd-pipeline_4,dim_devops_cicd-pipeline,tx_demo_devops,Jenkins,discovered
alias_devops_cicd-pipeline_5,dim_devops_cicd-pipeline,tx_demo_devops,ArgoCD,discovered
alias_devops_observability_1,dim_devops_observability,tx_demo_devops,모니터링,manual
alias_devops_observability_2,dim_devops_observability,tx_demo_devops,관측성,discovered
alias_devops_observability_3,dim_devops_observability,tx_demo_devops,Prometheus,discovered
alias_devops_observability_4,dim_devops_observability,tx_demo_devops,Grafana,discovered
alias_devops_observability_5,dim_devops_observability,tx_demo_devops,SLO,discovered
alias_devops_cloud-network_1,dim_devops_cloud-network,tx_demo_devops,VPC,manual
alias_devops_cloud-network_2,dim_devops_cloud-network,tx_demo_devops,로드밸런서,discovered
alias_devops_cloud-network_3,dim_devops_cloud-network,tx_demo_devops,네트워크 구성,discovered
alias_devops_cloud-network_4,dim_devops_cloud-network,tx_demo_devops,DNS,discovered
alias_devops_cloud-network_5,dim_devops_cloud-network,tx_demo_devops,서비스 메시,discovered
alias_mobile_kotlin-android_1,dim_mobile_kotlin-android,tx_demo_mobile,Kotlin,manual
alias_mobile_kotlin-android_2,dim_mobile_kotlin-android,tx_demo_mobile,안드로이드,discovered
alias_mobile_kotlin-android_3,dim_mobile_kotlin-android,tx_demo_mobile,Android,discovered
alias_mobile_kotlin-android_4,dim_mobile_kotlin-android,tx_demo_mobile,Jetpack Compose,discovered
alias_mobile_swift-ios_1,dim_mobile_swift-ios,tx_demo_mobile,Swift,manual
alias_mobile_swift-ios_2,dim_mobile_swift-ios,tx_demo_mobile,iOS,discovered
alias_mobile_swift-ios_3,dim_mobile_swift-ios,tx_demo_mobile,SwiftUI,discovered
alias_mobile_swift-ios_4,dim_mobile_swift-ios,tx_demo_mobile,UIKit,discovered
alias_mobile_app-architecture_1,dim_mobile_app-architecture,tx_demo_mobile,MVVM,manual
alias_mobile_app-architecture_2,dim_mobile_app-architecture,tx_demo_mobile,클린 아키텍처,discovered
alias_mobile_app-architecture_3,dim_mobile_app-architecture,tx_demo_mobile,상태 관리,discovered
alias_mobile_app-architecture_4,dim_mobile_app-architecture,tx_demo_mobile,모듈화,discovered
alias_mobile_network-api_1,dim_mobile_network-api,tx_demo_mobile,Retrofit,manual
alias_mobile_network-api_2,dim_mobile_network-api,tx_demo_mobile,URLSession,discovered
alias_mobile_network-api_3,dim_mobile_network-api,tx_demo_mobile,REST API 연동,discovered
alias_mobile_network-api_4,dim_mobile_network-api,tx_demo_mobile,비동기 처리,discovered
alias_mobile_store-release_1,dim_mobile_store-release,tx_demo_mobile,스토어 배포,manual
alias_mobile_store-release_2,dim_mobile_store-release,tx_demo_mobile,앱 심사,discovered
alias_mobile_store-release_3,dim_mobile_store-release,tx_demo_mobile,버전 관리,discovered
alias_mobile_store-release_4,dim_mobile_store-release,tx_demo_mobile,단계 배포,discovered
alias_security_web-vuln-assessment_1,dim_security_web-vuln-assessment,tx_demo_security,웹 취약점 진단,manual
alias_security_web-vuln-assessment_2,dim_security_web-vuln-assessment,tx_demo_security,취약점 점검,discovered
alias_security_web-vuln-assessment_3,dim_security_web-vuln-assessment,tx_demo_security,보안 점검,discovered
alias_security_web-vuln-assessment_4,dim_security_web-vuln-assessment,tx_demo_security,진단 보고서,discovered
alias_security_soc-siem_1,dim_security_soc-siem,tx_demo_security,보안관제,manual
alias_security_soc-siem_2,dim_security_soc-siem,tx_demo_security,SIEM,discovered
alias_security_soc-siem_3,dim_security_soc-siem,tx_demo_security,로그 분석,discovered
alias_security_soc-siem_4,dim_security_soc-siem,tx_demo_security,침해 대응,discovered
alias_security_network-security_1,dim_security_network-security,tx_demo_security,네트워크 보안,manual
alias_security_network-security_2,dim_security_network-security,tx_demo_security,방화벽,discovered
alias_security_network-security_3,dim_security_network-security,tx_demo_security,보안 장비 운영,discovered
alias_security_network-security_4,dim_security_network-security,tx_demo_security,서버 보안,discovered
alias_security_privacy-compliance_1,dim_security_privacy-compliance,tx_demo_security,개인정보 보호,manual
alias_security_privacy-compliance_2,dim_security_privacy-compliance,tx_demo_security,컴플라이언스,discovered
alias_security_privacy-compliance_3,dim_security_privacy-compliance,tx_demo_security,ISMS-P,discovered
alias_security_privacy-compliance_4,dim_security_privacy-compliance,tx_demo_security,규제 대응,discovered
alias_security_secure-coding_1,dim_security_secure-coding,tx_demo_security,시큐어 코딩,manual
alias_security_secure-coding_2,dim_security_secure-coding,tx_demo_security,개발 보안,discovered
alias_security_secure-coding_3,dim_security_secure-coding,tx_demo_security,코드 검토,discovered
alias_security_secure-coding_4,dim_security_secure-coding,tx_demo_security,보안 코드 리뷰,discovered
alias_game_client_unity-csharp_1,dim_game_client_unity-csharp,tx_demo_game_client,Unity,manual
alias_game_client_unity-csharp_2,dim_game_client_unity-csharp,tx_demo_game_client,C#,discovered
alias_game_client_unity-csharp_3,dim_game_client_unity-csharp,tx_demo_game_client,유니티 클라이언트,discovered
alias_game_client_unreal-cpp_1,dim_game_client_unreal-cpp,tx_demo_game_client,Unreal Engine,manual
alias_game_client_unreal-cpp_2,dim_game_client_unreal-cpp,tx_demo_game_client,언리얼 엔진,discovered
alias_game_client_unreal-cpp_3,dim_game_client_unreal-cpp,tx_demo_game_client,C++,discovered
alias_game_client_graphics-opt_1,dim_game_client_graphics-opt,tx_demo_game_client,렌더링 최적화,manual
alias_game_client_graphics-opt_2,dim_game_client_graphics-opt,tx_demo_game_client,드로우콜,discovered
alias_game_client_graphics-opt_3,dim_game_client_graphics-opt,tx_demo_game_client,프로파일링,discovered
alias_game_client_game-math_1,dim_game_client_game-math,tx_demo_game_client,3D 게임 수학,manual
alias_game_client_game-math_2,dim_game_client_game-math,tx_demo_game_client,쿼터니언,discovered
alias_game_client_game-math_3,dim_game_client_game-math,tx_demo_game_client,충돌 처리,discovered
alias_game_client_net-sync_1,dim_game_client_net-sync,tx_demo_game_client,상태 동기화,manual
alias_game_client_net-sync_2,dim_game_client_net-sync,tx_demo_game_client,클라이언트 예측,discovered
alias_game_client_net-sync_3,dim_game_client_net-sync,tx_demo_game_client,지연 보상,discovered
